,Headline,Sentiment
0,Australia news LIVE: Census 2021 results released; chaos in Sydney for commuters amid rail industrial action Blockade Australia protests - Sydney Morning Herald,-0.210526316
1,ASX opens up BWX dives 38pc Collins Foods Tassal jumps - The Australian Financial Review,0.0
2,Movie star unrecognisable as he is jailed - news.com.au,-0.4
3,Australia's aged-care sector losing 65000 workers every year report finds - 9News,-0.3
4,Innovative treatment reduces post-traumatic headache related disability study finds - News-Medical.Net,-0.1
5,Pause in medication would improve Covid jab response for millions study shows - Financial Times,0.363636364
6,Fawnker cemetery shooting: Confronting image of ex-Mongol bikie Suleiman Abdulrahim’s gunshot wounds emerges as hunt continues for attackers - 7NEWS,-0.25
7,Israel loosens abortion regulations in response to Roe - 9News,0.142857143
8,The Hottest Game Of The Summer Has A Cheating Problem - Kotaku Australia,-0.714285714
9,Affleck’s 10yo son dings $361k Lamborghini - news.com.au,0.0
10,ASX set for flat start tech stocks drag on Wall Street - ABC News,-0.090909091
11,Louisiana Utah judges blocks statewide 'trigger law' abortion bans after US Supreme Court decision - ABC News,0.2
12,NASA rocket launch sees Northern Territory town of Nhulunbuy focus in on its post-mining future - ABC News,0.214285714
13,‘Cataclysmic and chaotic’: Abortion battle lines drawn as legal floodgates open - Sydney Morning Herald,-0.333333333
14,NATO ramps up high-alert forces Russia pummels Ukrainian cities - The Australian Financial Review,-0.090909091
15,Russia Ukraine: Russian missile strike hits crowded shopping mall in Kremenchuk - 9News,-0.181818182
16,Mediterranean dietcould help lower chance of frailty according to new study published - Mirage News,0.333333333
17,Climate activists willing to risk fines and jail terms in NSW under tough new anti-protest laws - ABC News,-0.285714286
18,Atari turns 50 and the godfather of video games talks about how to change the world - MarketWatch,0.0
19,'Personal' donations to the Liberal Party came from vaping lobby during debate over policy - ABC News,0.0
20,Amtrak derailment: Three killed in Missouri after train hits truck - BBC,-0.555555556
21,Monkeypox case count rises to more than 3400 globally WHO says - The Globe and Mail,0.125
22,Blue Jays Select Shaun Anderson - MLB Trade Rumors,0.0
23,Alfredsson comes out of rain to receive rightful call to Hockey Hall of Fame - Sportsnet.ca,0.3
24,Avalanche’s Cale Makar wins Conn Smythe to cap historic season: ‘We’re watching greatness’ - The Athletic,0.583333333
25,Surprise hearing coming Tuesday as Jan. 6 committee promises recently obtained evidence - CBC News,0.083333333
26,YouTuber tries to upgrade his old M1 MacBook Pro 13 to the brand-new Apple M2 processor - Notebookcheck.net,0.0
27,What is the legal status of abortion in Canada and do we need a law? Experts weigh in - CP24 Toronto's Breaking News,0.0
28,Child dies after being left in hot car while mother taught at Ontario high school mayor says - CTV News Toronto,-0.2
29,Montreal man charged in 2021 shooting that killed 15-year-old Meriem Boundaoui - CBC.ca,-0.666666667
30,Apple shares new iPad collage-making tutorial with artist Quentin Jones - AppleInsider,0.1
31,NASA discovers double crater on the moon - CTV News,0.0
32,Toronto man uses Apple Airtags to track down stolen Range Rover - CP24 Toronto's Breaking News,0.0
33,The Supreme Court won't hear the Apple-Qualcomm patent case - Engadget,0.444444444
34,WHO adviser says G7 leaders must prioritize COVID-19 or face economic harm unrest - The Globe and Mail,-0.083333333
